INCIDENT_NUMBER,DATE_REPORTED,DATE_OCCURED,BADGE_ID,CRIME_TYPE,UOR_DESC,NIBRS_CODE,UCR_HIERARCHY,ATT_COMP,LMPD_DIVISION,LMPD_BEAT,PREMISE_TYPE,BLOCK_ADDRESS,City,ZIP_CODE,ObjectId
80-21-000052,2021-01-01 04:49:00,2021-01-01 04:36:00,5146            ,VANDALISM,CRIMINAL MISCHIEF - 1ST DEGREE,290,PART II,COMPLETED,6TH DIVISION,625,RESIDENCE / HOME                             ,9400 BLOCK DORAL CT                                         ,LOUISVILLE,40220,1
80-20-077625,2021-01-01 04:10:00,2020-12-31 20:00:00,8403            ,VANDALISM,CRIMINAL MISCHIEF - 1ST DEGREE,290,PART II,COMPLETED,6TH DIVISION,613,RESIDENCE / HOME                             ,4100 BLOCK ST FRANCIS LN                                    ,LOUISVILLE,40218,2
80-21-000052,2021-01-01 04:49:00,2021-01-01 04:36:00,5146            ,WEAPONS,POSSESSION OF HANDGUN BY CONVICTED FELON,520,PART II,COMPLETED,6TH DIVISION,625,RESIDENCE / HOME                             ,9400 BLOCK DORAL CT                                         ,LOUISVILLE,40220,3
80-21-000143,2021-01-01 16:15:00,2021-01-01 15:55:00,7328            ,OTHER,DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT,90Z,PART II,COMPLETED,7TH DIVISION,712,RESIDENCE / HOME                             ,6600 BLOCK BILLTOWN RD                                      ,LOUISVILLE,40299,4
80-20-077625,2021-01-01 04:10:00,2020-12-31 20:00:00,8403            ,BURGLARY,BURGLARY - 2ND DEGREE,220,PART I,COMPLETED,6TH DIVISION,613,RESIDENCE / HOME                             ,4100 BLOCK ST FRANCIS LN                                    ,LOUISVILLE,40218,5
80-21-000144,2021-01-01 16:00:00,2021-01-01 15:55:00,5161            ,ASSAULT,ASSAULT - 4TH DEGREE (NO VISIBLE INJURY),13B,PART II,COMPLETED,2ND DIVISION,223,RESIDENCE / HOME                             ,1100 BLOCK S 28TH ST                                        ,LOUISVILLE,40211,6
80-21-000053,2021-01-01 03:41:00,2021-01-01 03:41:00,7334            ,ASSAULT,ASSAULT - 1ST DEGREE,13A,PART I,COMPLETED,4TH DIVISION,423,RESIDENCE / HOME                             ,4100 BLOCK S 5TH ST                                         ,LOUISVILLE,40214,7
80-21-000243,2021-01-02 10:30:00,2021-01-02 10:16:00,7529            ,ASSAULT,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,13B,PART II,COMPLETED,8TH DIVISION,811,OTHER RESIDENCE (APARTMENT/CONDO)            ,3900 BLOCK ACCOMACK DR                                      ,LOUISVILLE,40241,8
80-21-000201,2021-01-02 01:25:00,2021-01-02 00:17:00,7386            ,BURGLARY,BURGLARY - 3RD DEGREE,220,PART I,COMPLETED,1ST DIVISION,134,LIQUOR STORE                                 ,200 BLOCK E MARKET ST                                       ,LOUISVILLE,40202,9
80-21-000003,2021-01-01 00:03:00,2021-01-01 00:03:00,7939            ,ASSAULT,ASSAULT - 1ST DEGREE,13A,PART I,COMPLETED,1ST DIVISION,112,HIGHWAY / ROAD / ALLEY                       ,600 BLOCK S 18TH ST                                         ,LOUISVILLE,40203,10
80-21-000145,2021-01-01 16:28:00,2020-12-31 13:00:00,5149            ,VANDALISM,CRIMINAL MISCHIEF - 1ST DEGREE,290,PART II,COMPLETED,8TH DIVISION,811,OTHER RESIDENCE (APARTMENT/CONDO)            ,11500 BLOCK MAPLE BROOK DR                                  ,LOUISVILLE,40241,11
80-21-000005,2021-01-01 00:14:00,2021-01-01 00:13:00,5293            ,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE,13A,PART I,COMPLETED,3RD DIVISION,323,RESIDENCE / HOME                             ,800 BLOCK CANDLEGLOW CT                                     ,LOUISVILLE,40214,12
80-21-000093,2021-01-01 12:51:00,2021-01-01 00:01:00,4354            ,BURGLARY,BURGLARY - 2ND DEGREE,220,PART I,COMPLETED,5TH DIVISION,521,OTHER RESIDENCE (APARTMENT/CONDO)            ,2500 BLOCK LINDSAY AVE                                      ,LOUISVILLE,40206,13
80-21-000245,2021-01-02 10:21:00,2021-01-02 10:20:00,7468            ,OTHER,RECOVERY OF STOLEN VEHICLE-OUT OF JURISDICTION,999,,COMPLETED,4TH DIVISION,435,RESIDENCE / HOME                             ,3900 BLOCK WOODRUFF AVE                                     ,LOUISVILLE,40215,14
80-21-000054,2021-01-01 05:08:00,2021-01-01 04:50:00,5332            ,VANDALISM,CRIMINAL MISCHIEF-3RD DEGREE,290,PART II,COMPLETED,4TH DIVISION,412,PARKING LOT / GARAGE                         ,700 BLOCK EASTERN PKY                                       ,LOUISVILLE,40217,15
80-21-000202,2021-01-02 00:55:00,2021-01-02 00:46:00,5316            ,BURGLARY,BURGLARY - 2ND DEGREE,220,PART I,ATTEMPTED,4TH DIVISION,423,RESIDENCE / HOME                             ,3600 BLOCK PARTHENIA AVE                                    ,LOUISVILLE,40215,16
80-21-000146,2021-01-01 16:22:00,2021-01-01 00:01:00,7116            ,VANDALISM,CRIMINAL MISCHIEF-3RD DEGREE,290,PART II,COMPLETED,4TH DIVISION,435,HIGHWAY / ROAD / ALLEY                       ,4300 BLOCK LAHNNA DR                                        ,LOUISVILLE,40216,17
80-21-000006,2021-01-01 00:03:00,2020-12-31 23:03:00,5258            ,VANDALISM,CRIMINAL MISCHIEF - 1ST DEGREE,290,PART II,COMPLETED,4TH DIVISION,424,DEPARTMENT / DISCOUNT STORE                  ,3200 BLOCK TAYLOR BLVD                                      ,LOUISVILLE,40215,18
80-21-000095,2021-01-01 09:56:00,2021-01-01 09:56:00,7599            ,OTHER,FLEEING OR EVADING POLICE - 1ST DEGREE (MOTOR VEHICLE),999,,COMPLETED,3RD DIVISION,334,HIGHWAY / ROAD / ALLEY                       ,8300 BLOCK 3RD STREET RD                                    ,LOUISVILLE,40214,19
80-21-000245,2021-01-02 10:21:00,2021-01-02 10:20:00,7468            ,THEFT/LARCENY,"RECEIVING STOLEN PROPERTY U/$10,000",280,PART II,COMPLETED,4TH DIVISION,435,HIGHWAY / ROAD / ALLEY                       ,3900 BLOCK WOODRUFF AVE                                     ,LOUISVILLE,40215,20
80-21-000355,2021-01-02 21:42:00,2021-01-02 21:40:00,8402            ,VANDALISM,CRIMINAL MISCHIEF-2ND DEGREE,290,PART II,COMPLETED,5TH DIVISION,521,PARKING LOT / GARAGE                         ,700 BLOCK N HITE AVE                                        ,LOUISVILLE,40206,21
80-21-000294,2021-01-02 15:48:00,2021-01-02 13:22:00,5149            ,THEFT/LARCENY,TBUT OR DISP ALL OTHERS <  $500,23H,PART I,COMPLETED,4TH DIVISION,412,RESIDENCE / HOME                             ,1200 BLOCK S CLAY ST                                        ,LOUISVILLE,40203,22
80-21-000246,2021-01-02 11:05:00,2020-01-01 21:00:00,8109            ,VEHICLE BREAK-IN/THEFT,TBUT OR DISP CONTENTS FROM VEH < $500,23F,PART I,COMPLETED,4TH DIVISION,424,PARKING LOT / GARAGE                         ,800 BLOCK PHILLIPS LN                                       ,LOUISVILLE,40209,23
80-21-000247,2021-01-02 11:24:00,2021-01-01 17:00:00,8142            ,VANDALISM,CRIMINAL MISCHIEF-3RD DEGREE,290,PART II,COMPLETED,3RD DIVISION,331,RESIDENCE / HOME                             ,6100 BLOCK GREENVIEW DR                                     ,LOUISVILLE,40216,24
80-21-000248,2021-01-02 11:17:00,2021-01-02 11:17:00,5002            ,VANDALISM,CRIMINAL MISCHIEF - 1ST DEGREE,290,PART II,COMPLETED,2ND DIVISION,234,PARKING LOT / GARAGE                         ,2900 BLOCK WILSON AVE                                       ,LOUISVILLE,40211,25
80-21-000249,2021-01-02 11:45:00,2021-01-02 11:30:00,5149            ,OTHER,PROPERTY LOST OR ABANDONED NON CRIMINAL,90Z,PART II,COMPLETED,7TH DIVISION,735,DEPARTMENT / DISCOUNT STORE                  ,4800 BLOCK OUTER LOOP                                       ,LOUISVILLE,40219,26
80-21-000250,2021-01-02 11:32:00,2021-01-01 11:55:00,7879            ,OTHER,MISSING PERSONS,90Z,PART II,COMPLETED,6TH DIVISION,613,RESIDENCE / HOME                             ,4600 BLOCK SHASTA TRL                                       ,LOUISVILLE,40213,27
80-21-000251,2021-01-02 11:50:00,2021-01-01 21:00:00,8142            ,VANDALISM,CRIMINAL MISCHIEF - 1ST DEGREE,290,PART II,COMPLETED,3RD DIVISION,315,DRUG STORE/DR`S OFFICE/HOSPITAL              ,10200 BLOCK DIXIE HWY                                       ,LOUISVILLE,40272,28
80-21-000252,2021-01-02 11:53:00,2020-12-31 22:00:00,8109            ,MOTOR VEHICLE THEFT,"TBUT OR DISP AUTO > $500 BUT < $10,000",240,PART I,COMPLETED,4TH DIVISION,424,HIGHWAY / ROAD / ALLEY                       ,3800 BLOCK SOUTHERN PKY                                     ,LOUISVILLE,40214,29
80-21-000254,2021-01-02 12:01:00,2020-12-30 00:00:00,8142            ,VEHICLE BREAK-IN/THEFT,THEFT OF MOTOR VEHICLE REGISTRATION PLATE/DECAL,23G,PART I,COMPLETED,5TH DIVISION,512,RESIDENCE / HOME                             ,2300 BLOCK GLENMARY AVE                                     ,LOUISVILLE,40204,30
80-21-000255,2021-01-02 12:08:00,2021-01-01 23:00:00,8142            ,VANDALISM,CRIMINAL MISCHIEF-3RD DEGREE,290,PART II,COMPLETED,4TH DIVISION,436,RESIDENCE / HOME                             ,4600 BLOCK S 3RD ST                                         ,LOUISVILLE,40214,31
80-21-000256,2021-01-02 11:47:00,2021-01-02 11:47:00,5020            ,OTHER,RECOVERY OF STOLEN PROPERTY,90Z,PART II,COMPLETED,5TH DIVISION,512,HIGHWAY / ROAD / ALLEY                       ,2300 BLOCK GLENMARY AVE                                     ,LOUISVILLE,40204,32
80-21-000257,2021-01-02 12:05:00,2021-01-02 11:57:00,5052            ,OTHER,DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT,90Z,PART II,COMPLETED,4TH DIVISION,424,OTHER RESIDENCE (APARTMENT/CONDO)            ,4300 BLOCK S BROOK ST                                       ,LOUISVILLE,40214,33
80-21-000259,2021-01-02 11:53:00,2020-12-31 19:01:00,7529            ,FRAUD,"THEFT BY FAIL TO MAKE REQ DISPOSITION OF PROP $10,000 OR >",26A,PART II,COMPLETED,8TH DIVISION,811,RENTAL / STORAGE FACILITY                    ,3400 BLOCK COLLINS LN                                       ,LOUISVILLE,40245,34
80-21-000260,2021-01-02 11:13:00,2021-01-02 11:00:00,5312            ,ASSAULT,HARASSMENT (NO PHYSICAL CONTACT),13C,PART II,COMPLETED,3RD DIVISION,331,CONVENIENCE STORE                            ,4800 BLOCK CANE RUN RD                                      ,LOUISVILLE,40216,35
80-21-000261,2021-01-02 12:48:00,2020-12-26 10:49:00,8142            ,FRAUD,"THEFT BY FAIL TO MAKE REQ DISPOSITION OF PROP $10,000 OR >",26A,PART II,COMPLETED,6TH DIVISION,624,AUTO DEALERSHIP (NEW OR USED)                ,4100 BLOCK BARDSTOWN RD                                     ,LOUISVILLE,40218,36
80-21-000262,2021-01-02 12:03:00,2021-01-02 10:00:00,7631            ,OTHER,HARASSING COMMUNICATIONS,90Z,PART II,COMPLETED,8TH DIVISION,811,HOTEL / MOTEL / ETC.                         ,11400 BLOCK WESTPORT RD                                     ,LOUISVILLE,40241,37
80-21-000263,2021-01-02 13:12:00,2021-01-01 23:00:00,8142            ,MOTOR VEHICLE THEFT,"TBUT OR DISP AUTO > $10,000 BUT < $1,000,000",240,PART I,COMPLETED,3RD DIVISION,315,RESIDENCE / HOME                             ,6700 BLOCK LEVERETT LN                                      ,LOUISVILLE,40258,38
80-21-000263,2021-01-02 13:12:00,2021-01-01 23:00:00,8142            ,THEFT/LARCENY,"RECEIVING STOLEN PROPERTY $10,000 OR MORE",280,PART II,COMPLETED,3RD DIVISION,315,HIGHWAY / ROAD / ALLEY                       ,6700 BLOCK LEVERETT LN                                      ,LOUISVILLE,40258,39
80-21-000265,2021-01-02 13:25:00,2021-01-02 13:20:00,5337            ,OTHER,RECOVERY OF STOLEN VEHICLE-OUT OF JURISDICTION,999,,COMPLETED,4TH DIVISION,435,HIGHWAY / ROAD / ALLEY                       ,LONSDALE AVE / WOODY AVE                                    ,LOUISVILLE,40215,40
80-21-000266,2021-01-02 13:46:00,2021-01-02 01:15:00,9553            ,VEHICLE BREAK-IN/THEFT,"TBUT OR DISP PARTS FROM VEHICLE $500 OR > BUT < $10,000",23G,PART I,COMPLETED,1ST DIVISION,112,HIGHWAY / ROAD / ALLEY                       ,600 BLOCK S 22ND ST                                         ,LOUISVILLE,40211,41
80-21-000267,2021-01-02 13:48:00,2020-12-30 09:00:00,8109            ,THEFT/LARCENY,TBUT OR DISP FIREARM,23H,PART I,COMPLETED,3RD DIVISION,316,RESIDENCE / HOME                             ,13900 BLOCK LYONS AVE                                       ,LOUISVILLE,40272,42
80-21-000268,2021-01-02 13:51:00,2020-12-03 17:30:00,8142            ,BURGLARY,BURGLARY - 3RD DEGREE,220,PART I,COMPLETED,6TH DIVISION,624,NON-ATTACHED RESD GARAGE/SHED/BULD           ,8500 BLOCK WATTERSON TRL                                    ,LOUISVILLE,40299,43
80-21-000268,2021-01-02 13:51:00,2020-12-03 17:30:00,8142            ,THEFT/LARCENY,"RECEIVING STOLEN PROPERTY U/$10,000",280,PART II,COMPLETED,6TH DIVISION,624,RESIDENCE / HOME                             ,8500 BLOCK WATTERSON TRL                                    ,LOUISVILLE,40299,44
80-21-000269,2021-01-02 13:56:00,2021-01-01 18:00:00,9553            ,MOTOR VEHICLE THEFT,"TBUT OR DISP AUTO > $500 BUT < $10,000",240,PART I,COMPLETED,6TH DIVISION,624,PARKING LOT / GARAGE                         ,100 BLOCK COUNTRY ACRES                                     ,LOUISVILLE,40218,45
80-21-000270,2021-01-02 13:37:00,2020-12-31 20:00:00,2321            ,VANDALISM,CRIMINAL MISCHIEF-3RD DEGREE,290,PART II,COMPLETED,7TH DIVISION,712,RESIDENCE / HOME                             ,9700 BLOCK WATERBROOK CT                                    ,LOUISVILLE,40228,46
80-21-000271,2021-01-02 13:31:00,2021-01-02 00:01:00,5221            ,VANDALISM,CRIMINAL MISCHIEF-3RD DEGREE,290,PART II,COMPLETED,4TH DIVISION,436,RESIDENCE / HOME                             ,4700 BLOCK S RUTLAND AVE                                    ,LOUISVILLE,40215,47
80-21-000272,2021-01-02 14:08:00,2021-01-02 00:00:00,5149            ,THEFT/LARCENY,TBUT OR DISP FIREARM,23H,PART I,COMPLETED,3RD DIVISION,323,OTHER RESIDENCE (APARTMENT/CONDO)            ,10400 BLOCK W MANSLICK RD                                   ,LOUISVILLE,40118,48
80-21-000273,2021-01-02 13:56:00,2021-01-02 12:56:00,2499            ,BURGLARY,BURGLARY - 2ND DEGREE,220,PART I,ATTEMPTED,4TH DIVISION,424,RESIDENCE / HOME                             ,100 BLOCK E EVELYN AVE                                      ,LOUISVILLE,40214,49
80-21-000273,2021-01-02 13:56:00,2021-01-02 12:56:00,2499            ,FRAUD,THEFT OF IDENTITY OF ANOTHER WITHOUT CONSENT,26C,PART II,COMPLETED,4TH DIVISION,424,RESIDENCE / HOME                             ,100 BLOCK E EVELYN AVE                                      ,LOUISVILLE,40214,50
80-21-000274,2021-01-02 13:35:00,2021-01-02 13:35:00,7690            ,DRUGS/ALCOHOL VIOLATIONS,POSS CONTROLLED SUB 1ST DEGREE 1ST OFF (METHAMPHETAMINE),35A,PART II,COMPLETED,3RD DIVISION,323,HIGHWAY / ROAD / ALLEY                       ,BUCKINGHAM DR / GLENGARRY DR                                ,LOUISVILLE,40118,51
80-21-000275,2021-01-02 14:23:00,2020-01-01 17:00:00,8109            ,THEFT/LARCENY,TBUT OR DISP FROM BUILDING < $500,23D,PART I,COMPLETED,7TH DIVISION,735,RESIDENCE / HOME                             ,5400 BLOCK OUTER LOOP                                       ,LOUISVILLE,40219,52
80-21-000276,2021-01-02 14:25:00,2021-01-02 14:18:00,7463            ,ASSAULT,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY,13B,PART II,COMPLETED,1ST DIVISION,112,RESIDENCE / HOME                             ,2500 BLOCK CEDAR ST                                         ,LOUISVILLE,40212,53
80-21-000277,2021-01-02 14:31:00,2021-01-01 18:30:00,5149            ,VEHICLE BREAK-IN/THEFT,"TBUT OR DISP PARTS FROM VEHICLE $500 OR > BUT < $10,000",23G,PART I,COMPLETED,4TH DIVISION,412,RESIDENCE / HOME                             ,900 BLOCK EASTERN PKY                                       ,LOUISVILLE,40217,54
80-21-000278,2021-01-02 14:08:00,2021-01-02 14:00:00,7387            ,DRUGS/ALCOHOL VIOLATIONS,POSS OF MARIJUANA,35A,PART II,COMPLETED,2ND DIVISION,223,HIGHWAY / ROAD / ALLEY                       ,DIXIE HWY / GARLAND AVE                                     ,LOUISVILLE,40210,55
80-21-000279,2021-01-02 14:28:00,2021-01-02 14:23:00,7397            ,OTHER,DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT,90Z,PART II,COMPLETED,7TH DIVISION,736,OTHER RESIDENCE (APARTMENT/CONDO)            ,3700 BLOCK FALCON CREST DR                                  ,LOUISVILLE,40219,56
80-21-000280,2021-01-02 14:42:00,2020-12-29 19:21:00,5149            ,THEFT/LARCENY,"TBUT OR DISP SHOPLIFTING $500 OR >  BUT < $10,000",23C,PART I,COMPLETED,7TH DIVISION,735,DEPARTMENT / DISCOUNT STORE                  ,4800 BLOCK OUTER LOOP                                       ,LOUISVILLE,40219,57
80-21-000281,2021-01-02 14:44:00,2021-01-02 09:00:00,8402            ,THEFT/LARCENY,THEFT OF MAIL MATTER,23H,PART I,COMPLETED,2ND DIVISION,234,CHURCH / SYNAGOGUE / TEMPLE                  ,3900 BLOCK CANE RUN RD                                      ,LOUISVILLE,40211,58
80-21-000282,2021-01-02 14:14:00,2021-01-02 13:30:00,7341            ,THEFT/LARCENY,TBUT OR DISP ALL OTHERS <  $500,23H,PART I,COMPLETED,6TH DIVISION,612,HIGHWAY / ROAD / ALLEY                       ,3600 BLOCK FRIAR TUCK CT                                    ,LOUISVILLE,40219,59
80-21-000284,2021-01-02 15:08:00,2021-01-02 14:50:00,8050            ,THEFT/LARCENY,TBUT OR DISP SHOPLIFTING < $500,23C,PART I,COMPLETED,1ST DIVISION,123,DRUG STORE/DR`S OFFICE/HOSPITAL              ,500 BLOCK S 4TH ST                                          ,LOUISVILLE,40202,60
80-21-000285,2021-01-02 15:12:00,2021-01-02 15:06:00,5151            ,VANDALISM,CRIMINAL MISCHIEF-3RD DEGREE,290,PART II,COMPLETED,2ND DIVISION,223,RESIDENCE / HOME                             ,1100 BLOCK S 28TH ST                                        ,LOUISVILLE,40211,61
80-21-000285,2021-01-02 15:12:00,2021-01-02 15:06:00,5151            ,ASSAULT,HARASSMENT (NO PHYSICAL CONTACT),13C,PART II,COMPLETED,2ND DIVISION,223,RESIDENCE / HOME                             ,1100 BLOCK S 28TH ST                                        ,LOUISVILLE,40211,62
80-21-000286,2021-01-02 14:50:00,2021-01-02 14:30:00,5161            ,ROBBERY,ROBBERY - 1ST DEGREE,120,PART I,COMPLETED,2ND DIVISION,211,RESIDENCE / HOME                             ,3600 BLOCK VERMONT AVE                                      ,LOUISVILLE,40211,63
80-21-000286,2021-01-02 14:50:00,2021-01-02 14:30:00,5161            ,DRUGS/ALCOHOL VIOLATIONS,DRUG PARAPHERNALIA - BUY/POSSESS,35B,PART II,COMPLETED,2ND DIVISION,211,HIGHWAY / ROAD / ALLEY                       ,3600 BLOCK VERMONT AVE                                      ,LOUISVILLE,40211,64
80-21-000286,2021-01-02 14:50:00,2021-01-02 14:30:00,5161            ,DRUGS/ALCOHOL VIOLATIONS,POSS CONT SUB-1ST DEGREE-2ND  OFFENSE-HEROIN,35A,PART II,COMPLETED,2ND DIVISION,211,HIGHWAY / ROAD / ALLEY                       ,3600 BLOCK VERMONT AVE                                      ,LOUISVILLE,40211,65
80-21-000288,2021-01-02 15:26:00,2021-01-02 13:30:00,8050            ,THEFT/LARCENY,TBUT OR DISP SHOPLIFTING < $500,23C,PART I,COMPLETED,4TH DIVISION,423,DRUG STORE/DR`S OFFICE/HOSPITAL              ,700 BLOCK ALGONQUIN PKY                                     ,LOUISVILLE,40208,66
80-21-000289,2021-01-02 15:31:00,2020-12-30 15:00:00,8402            ,VANDALISM,CRIMINAL MISCHIEF - 1ST DEGREE,290,PART II,COMPLETED,1ST DIVISION,111,COMMERCIAL / OFFICE BUILDING                 ,2500 BLOCK W MAIN ST                                        ,LOUISVILLE,40212,67
80-21-000291,2021-01-02 15:37:00,2021-01-02 14:32:00,7184            ,OTHER,RECOVERY OF STOLEN VEHICLE-OUT OF JURISDICTION,999,,COMPLETED,2ND DIVISION,225,HIGHWAY / ROAD / ALLEY                       ,S 15TH ST / W HILL ST                                       ,LOUISVILLE,40210,68
80-21-000292,2021-01-02 15:12:00,2021-01-02 15:00:00,7381            ,ASSAULT,TERRORISTIC THREATENING 2ND DEGREE,13C,PART II,COMPLETED,2ND DIVISION,223,CYBERSPACE                                   ,1600 BLOCK PRENTICE ST                                      ,LOUISVILLE,40210,69
80-21-000008,2021-01-01 00:57:00,2021-01-01 00:30:00,8249            ,VEHICLE BREAK-IN/THEFT,THEFT OF MOTOR VEHICLE REGISTRATION PLATE/DECAL,23G,PART I,COMPLETED,4TH DIVISION,436,PARKING LOT / GARAGE                         ,200 BLOCK E SOUTHERN HEIGHTS AVE                            ,LOUISVILLE,40209,70
80-21-000095,2021-01-01 09:56:00,2021-01-01 09:56:00,7599            ,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,13A,PART I,COMPLETED,3RD DIVISION,334,HIGHWAY / ROAD / ALLEY                       ,8300 BLOCK 3RD STREET RD                                    ,LOUISVILLE,40214,71
80-21-000203,2021-01-02 01:00:00,2021-01-02 00:44:00,5259            ,OTHER,HARASSING COMMUNICATIONS,90Z,PART II,COMPLETED,3RD DIVISION,322,RESIDENCE / HOME                             ,400 BLOCK IROQUOIS GARDENS DR                               ,LOUISVILLE,40214,72
80-21-000147,2021-01-01 16:33:00,2021-01-01 08:45:00,2501            ,MOTOR VEHICLE THEFT,"TBUT OR DISP AUTO > $500 BUT < $10,000",240,PART I,COMPLETED,3RD DIVISION,331,PARKING LOT / GARAGE                         ,5500 BLOCK GREENWOOD RD                                     ,LOUISVILLE,40258,73
80-21-000055,2021-01-01 06:31:00,2021-01-01 04:50:00,5042            ,ASSAULT,ASSAULT - 4TH DEGREE (MINOR INJURY),13B,PART II,COMPLETED,7TH DIVISION,736,OTHER RESIDENCE (APARTMENT/CONDO)            ,4100 BLOCK PINECROFT DR                                     ,LOUISVILLE,40219,74
80-21-000150,2021-01-01 16:16:00,2021-01-01 15:35:00,5161            ,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE,13A,PART I,COMPLETED,2ND DIVISION,212,RESIDENCE / HOME                             ,4500 BLOCK WINNROSE WAY                                     ,LOUISVILLE,40211,75
80-21-000356,2021-01-01 19:56:00,2021-01-01 19:56:00,5025            ,OTHER,RECOVERY OF STOLEN VEHICLE-OUT OF JURISDICTION,999,,COMPLETED,1ST DIVISION,123,HOTEL / MOTEL / ETC.                         ,100 BLOCK N 4TH ST                                          ,LOUISVILLE,40202,76
80-21-000095,2021-01-01 09:56:00,2021-01-01 09:56:00,7599            ,THEFT/LARCENY,"RECEIVING STOLEN PROPERTY $10,000 OR MORE",280,PART II,COMPLETED,3RD DIVISION,334,OTHER / UNKNOWN                              ,8300 BLOCK 3RD STREET RD                                    ,LOUISVILLE,40214,77
80-21-000295,2021-01-02 16:01:00,2021-01-02 12:00:00,5149            ,MOTOR VEHICLE THEFT,UNAUTHORIZED USE OF MOTOR VEHICLE 1ST OFFENSE,240,PART I,COMPLETED,3RD DIVISION,323,RESIDENCE / HOME                             ,10200 BLOCK NOLA DR                                         ,LOUISVILLE,40118,78
80-21-000055,2021-01-01 06:31:00,2021-01-01 04:50:00,5042            ,ASSAULT,TERRORISTIC THREATENING 3RD DEGREE,13C,PART II,COMPLETED,7TH DIVISION,736,OTHER RESIDENCE (APARTMENT/CONDO)            ,4100 BLOCK PINECROFT DR                                     ,LOUISVILLE,40219,79
80-21-000010,2021-01-01 00:40:00,2021-01-01 00:10:00,5320            ,VANDALISM,CRIMINAL MISCHIEF-2ND DEGREE,290,PART II,COMPLETED,6TH DIVISION,624,RESIDENCE / HOME                             ,7300 BLOCK RIDGE CREEK RD                                   ,LOUISVILLE,40291,80
80-21-000204,2021-01-02 01:11:00,2021-01-02 01:09:00,7159            ,ASSAULT,STALKING-2ND DEGREE,13C,PART II,COMPLETED,8TH DIVISION,811,RESIDENCE / HOME                             ,10700 BLOCK MEETING ST                                      ,LOUISVILLE,40059,81
80-21-000151,2021-01-01 16:00:00,2021-01-01 16:00:00,5106            ,OTHER,DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT,90Z,PART II,COMPLETED,6TH DIVISION,613,RESIDENCE / HOME                             ,4100 BLOCK ST FRANCIS LN                                    ,LOUISVILLE,40218,82
80-21-000357,2021-01-02 22:35:00,2021-01-02 21:54:00,7423            ,DRUGS/ALCOHOL VIOLATIONS,DRUG PARAPHERNALIA - BUY/POSSESS,35B,PART II,COMPLETED,4TH DIVISION,435,HIGHWAY / ROAD / ALLEY                       ,CARRICO AVE / TAYLOR BLVD                                   ,LOUISVILLE,40215,83
80-21-000095,2021-01-01 09:56:00,2021-01-01 09:56:00,7599            ,WEAPONS,POSSESSION OF HANDGUN BY CONVICTED FELON,520,PART II,COMPLETED,3RD DIVISION,334,HIGHWAY / ROAD / ALLEY                       ,8300 BLOCK 3RD STREET RD                                    ,LOUISVILLE,40214,84
80-21-000055,2021-01-01 06:31:00,2021-01-01 04:50:00,5042            ,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE,13A,PART I,COMPLETED,7TH DIVISION,736,OTHER RESIDENCE (APARTMENT/CONDO)            ,4100 BLOCK PINECROFT DR                                     ,LOUISVILLE,40219,85
80-21-000011,2021-01-01 01:30:00,2021-01-01 00:02:00,2877            ,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE,13A,PART I,COMPLETED,2ND DIVISION,236,RESIDENCE / HOME                             ,4200 BLOCK BUBBLING OVER DR                                 ,LOUISVILLE,40216,86
80-21-000296,2021-01-02 14:50:00,2021-01-01 00:01:00,5151            ,VANDALISM,CRIMINAL MISCHIEF-2ND DEGREE,290,PART II,COMPLETED,2ND DIVISION,223,RESIDENCE / HOME                             ,1800 BLOCK OSAGE AVE                                        ,LOUISVILLE,40210,87
80-21-000152,2021-01-01 16:51:00,2021-01-01 00:01:00,5338            ,VANDALISM,CRIMINAL MISCHIEF-2ND DEGREE,290,PART II,COMPLETED,2ND DIVISION,223,RESIDENCE / HOME                             ,3300 BLOCK GRAND AVE                                        ,LOUISVILLE,40211,88
80-21-000297,2021-01-02 16:30:00,2021-01-02 15:00:00,8109            ,THEFT/LARCENY,"TBUT OR DISP FROM BLDG $500 OR > BUT < $10,000",23D,PART I,COMPLETED,3RD DIVISION,323,RESTAURANT                                   ,100 BLOCK OUTER LOOP                                        ,LOUISVILLE,40214,89
80-21-000357,2021-01-02 22:35:00,2021-01-02 21:54:00,7423            ,DRUGS/ALCOHOL VIOLATIONS,POSS CONT SUB-1ST DEGREE-1ST OFFENSE-HEROIN,35A,PART II,COMPLETED,4TH DIVISION,435,HIGHWAY / ROAD / ALLEY                       ,CARRICO AVE / TAYLOR BLVD                                   ,LOUISVILLE,40215,90
